10	10.01.17	1	48466351	54515142	0	100	450	200	750			
10	10.02.17	2	45585478	65481232	0	100	400	0	500			
10	10.03.17	3	54848445	98745631	0	100	500	100	700		
10	10.04.17	4	84625154	45123698	0	100	540	250	890			
10	10.05.17	5	96965874	84651554	0	100	520	100	720			
10	10.06.17	6	63214587	65848244	0	100	600	150	850			
10	10.07.17	7	36598445	45826484	0	100	390	0	490			
10	10.08.17	8	21365478	95615454	0	100	520	0	620			
10	10.09.17	9	96587412	84626558	0	100	600	80	780			
10	10.10.17	10	96548216	96684814	0	100	700	100	900		
10	10.11.17	11	36548921	99362211	0	100	500	150	750	
10	10.12.17	12	75412685	78451346	0	100	400	200	700	
11	10.01.17	1	58848444	85858585	0	100	500	200	800
11	10.02.17	2	55959595	85858585	0	100	550	600	1250
11	10.03.17	3	65556595	85858585	0	100	450	400	950
11	10.04.17	4	23626988	85858585	0	100	200	700	1000
11	10.05.17	5	59598599	85858585	0	100	300	600	1000
11	10.06.17	6	52959585	85858585	0	100	700	100	900
11	10.07.17	7	59598974	85858585	0	100	200	350	650
11	10.08.17	8	22329154	85858585	0	100	520	230	850
11	10.09.17	9	59565977	85858585	0	100	500	700	1300
11	10.10.17	10	63636529	85858585	0	100	400	300	800
11	10.11.17	11	54855845	85858585	0	100	300	400	800
11	10.12.17	12	85595658	85858585	0	100	900	100	1100
12	10.01.17	1	25625625	19191919	0	100	500	500	1100
12	10.02.17	2	62622589	19191919	0	100	600	200	900
12	10.03.17	3	26589258	19191919	0	100	400	350	850
12	10.04.17	4	23265926	19191919	0	100	350	350	800
12	10.05.17	5	26559259	19191919	0	100	250	400	750
12	10.06.17	6	25626225	19191919	0	100	750	150	1000
12	10.07.17	7	62225125	19191919	0	100	650	100	850
12	10.08.17	8	25252662	19191919	0	100	300	300	700
12	10.09.17	9	26266656	19191919	0	100	400	400	900
12	10.10.17	10	32629999	19191919	0	100	200	250	550
12	10.11.17	11	98585518	19191919	0	100	300	400	800
12	10.12.17	12	23626299	19191919	0	100	200	200	500
